ID,LENGTH,DIR,DATA,EXT_KM,CLASSIF,MUN,MUN_SIG,SIG_ROD,TIPO,NOM_TIT,NOM_PRE,NOME,ETIQ,TIPO_A,NOM_T_A,NOM_P_A,NOME_A,ETIQ_A,TIPO_EXT,TIPO_E_A,TIT_EXT,TIT_E_A
234969,1.846813,0,2869,1.846813,4,MOGI DAS CRUZES,MGC,,AV,,,PEDRO ROMERO,AV PEDRO ROMERO,Av,,,Pedro Romero,Av Pedro Romero,AVENIDA,Avenida,,
235001,0.994095,0,4387,0.994095,4,MOGI DAS CRUZES,MGC,SP 088,RV,PRF,,ALFREDO ROLIM DE MOURA,SP 088  PRF ALFREDO ROLIM DE MOURA,Rv,Prf,,Alfredo Rolim de Moura,SP 088  Prf Alfredo Rolim de Moura,RODOVIA,Rodovia,PROFESSOR,Professor
235084,0.58232,0,3527,0.58232,3,MOGI DAS CRUZES,MGC,,AV,,,SEM NOME,AV SEM NOME,Av,,,Sem Nome,Av Sem Nome,AVENIDA,Avenida,,
235115,1.293348,0,3526,1.293348,3,MOGI DAS CRUZES,MGC,,AV,,,JOAO VINTE E TRES,AV JOAO VINTE E TRES,Av,,,João Vinte e Três,Av João Vinte e Três,AVENIDA,Avenida,,
235149,0.727967,0,3952,0.727967,4,MOGI DAS CRUZES,MGC,,AV,VER,,DANTE JORDAO STOPPA,AV VER DANTE JORDAO STOPPA,Av,Ver,,Dante Jodão Stoppa,Av Ver Dante Jordão Stoppa,AVENIDA,Avenida,VEREADOR,Vereador
235184,1.220933,0,3951,1.220933,4,MOGI DAS CRUZES,MGC,,AV,,,RICIERI JOSE MARCATTO,AV RICIERI JOSE MARCATTO,Av,,,Ricieri José Marcatto,Av Ricieri José Marcatto,AVENIDA,Avenida,,
235204,1.477757,0,3950,1.477757,4,MOGI DAS CRUZES,MGC,,AV,,,JOAO VINTE E TRES,AV JOAO VINTE E TRES,Av,,,João Vinte e Três,Av João Vinte e Três,AVENIDA,Avenida,,
235225,0.272721,0,3953,0.272721,4,MOGI DAS CRUZES,MGC,,AV,,,NELLUSCO LOURENCO BORATTO,AV NELLUSCO LOURENCO BORATTO,Av,,,Nellusco Lourenço Boratto,Av Nellusco Lourenço Boratto,AVENIDA,Avenida,,
235237,0.951646,0,3525,0.951646,4,MOGI DAS CRUZES,MGC,,AV,,,RICIERI JOSE MARCATTO,AV RICIERI JOSE MARCATTO,Av,,,Ricieri José Marcatto,Av Ricieri José Marcatto,AVENIDA,Avenida,,
235265,0.220896,0,3524,0.220896,4,MOGI DAS CRUZES,MGC,,AV,,,NILO MARCATTO,AV NILO MARCATTO,Av,,,Nilo Marcatto,Av Nilo Marcatto,AVENIDA,Avenida,,
235275,4.868144,0,2868,4.868143,3,MOGI DAS CRUZES,MGC,,AV,,,FRANCISCO RODRIGUES FILHO,AV FRANCISCO RODRIGUES FILHO,Av,,,Francisco Rodrigues Filho,Av Francisco Rodrigues Filho,AVENIDA,Avenida,,
235436,1.728848,0,4388,1.728848,1,MOGI DAS CRUZES,MGC,SP 070,RV,,,AYRTON SENNA,SP 070  AYRTON SENNA,Rv,,,Ayrton Senna,SP 070  Ayrton Senna,RODOVIA,Rodovia,,
235467,2.09128,0,4389,2.09128,2,MOGI DAS CRUZES,MGC,SP 088,RV,,,PEDRO EROLE,SP 088  PEDRO EROLE,Rv,,,Pedro Erole,SP 088  Pedro Erole,RODOVIA,Rodovia,,
235518,11.79674,0,4390,11.796741,1,MOGI DAS CRUZES,MGC,SP 070,RV,,,AYRTON SENNA,SP 070  AYRTON SENNA,Rv,,,Ayrton Senna,SP 070  Ayrton Senna,RODOVIA,Rodovia,,
235698,12.169132,0,3513,12.16913,4,MOGI DAS CRUZES,MGC,,ES,,,TABOAO DO PARATEI,ES TABOAO DO PARATEI,Es,,,Taboão do Parateí,Es Taboão do Parateí,ESTRADA,Estrada,,
236178,8.780403,0,4391,8.780404,1,SANTA ISABEL,SIS,BR 116,RV,,,DUTRA,BR 116  DUTRA,Rv,,,Dutra,BR 116  Dutra,RODOVIA,Rodovia,,
236415,9.683502,0,4392,9.683504,3,SANTA ISABEL,SIS,SP 056,RV,VER,,ALBINO RODRIGUES NEVES,SP 056  VER ALBINO RODRIGUES NEVES,Rv,Ver,,Albino Rodrigues Neves,SP 056  Ver Albino Rodrigues Neves,RODOVIA,Rodovia,VEREADOR,Vereador
237087,3.485119,0,4126,3.485118,3,SANTA ISABEL,SIS,SPA 060/056,AC,,,,SPA 060/056,Ac,,,,SPA 060/056,ACESSO,Acesso,Acesso,
237203,2.056717,0,3515,2.056716,4,MOGI DAS CRUZES,MGC,,ES,,,TABOAO DO PARATEI,ES TABOAO DO PARATEI,Es,,,Taboão do Parateí,Es Taboão do Parateí,ESTRADA,Estrada,,
237333,6.28373,0,3512,6.283731,4,MOGI DAS CRUZES,MGC,,ES,,,SAO BENTO DO LAMBARI,ES SAO BENTO DO LAMBARI,Es,,,São Bento do Lambari,Es São Bento do Lambari,ESTRADA,Estrada,,
237585,1.416185,0,3511,1.416185,4,SANTA ISABEL,SIS,,ES,,,ARTUR CYTRYNOWICZ,ES ARTUR CYTRYNOWICZ,Es,,,Artur Cytrynowicz,Es Artur Cytrynowicz,ESTRADA,Estrada,,
237643,4.577509,0,4127,4.577509,1,SANTA ISABEL,SIS,BR 116,RV,,,DUTRA,BR 116  DUTRA,Rv,,,Dutra,BR 116  Dutra,RODOVIA,Rodovia,,
237733,4.22427,0,4128,4.224269,1,GUARAREMA,GMA,SP 070,RV,,,AYRTON SENNA,SP 070  AYRTON SENNA,Rv,,,Ayrton Senna,SP 070  Ayrton Senna,RODOVIA,Rodovia,,
237802,2.682306,0,4129,2.682306,1,GUARAREMA,GMA,BR 116,RV,,,DUTRA,BR 116  DUTRA,Rv,,,Dutra,BR 116  Dutra,RODOVIA,Rodovia,,
237816,3.090841,0,2450,3.090842,4,SANTA ISABEL,SIS,,ES,,DO,JAGUARI,ES DO JAGUARI,Es,,do,Jaguari,Es do Jaguari,ESTRADA,Estrada,,
237935,3.870522,0,2451,3.870522,4,SANTA ISABEL,SIS,,ES,,DO,OURO FINO,ES DO OURO FINO,Es,,do,Ouro Fino,Es do Ouro Fino,ESTRADA,Estrada,,
238066,2.653685,0,2452,2.653686,4,SANTA ISABEL,SIS,,R,,DO,COMERCIO,R DO COMERCIO,R,,do,Comércio,R do Comércio,RUA,Rua,,
238177,0.223619,0,2453,0.223619,4,SANTA ISABEL,SIS,,AV,,,NOVE DE JULHO,AV NOVE DE JULHO,Av,,,Nove de Julho,Av Nove de Julho,AVENIDA,Avenida,,
238186,0.278152,0,28,0.278152,4,SANTA ISABEL,SIS,,R,,,JOAO PESSOA,R JOAO PESSOA,R,,,João Pessoa,R João Pessoa,RUA,Rua,,
238207,0.474407,0,29,0.474407,4,SANTA ISABEL,SIS,,AV,,,MANOEL FERRAZ DE CAMPOS SALES,AV MANOEL FERRAZ DE CAMPOS SALES,Av,,,Manoel Ferraz de Campos Sales,Av Manoel Ferraz de Campos Sales,AVENIDA,Avenida,,
238237,0.917427,0,31,0.917427,4,SANTA ISABEL,SIS,,AV,,DA,REPUBLICA,AV DA REPUBLICA,Av,,da,República,Av da República,AVENIDA,Avenida,,
238253,1.319076,0,2860,1.319076,3,SANTA ISABEL,SIS,,AV,CEL,,BERTOLDO,AV CORONEL BERTOLDO,Av,Cel,,Bertoldo,Av Coronel Bertoldo,AVENIDA,Avenida,CORONEL,Coronel
238824,0.459284,0,2859,0.459284,4,SANTA ISABEL,SIS,,AV,,,MANOEL FERRAZ DE CAMPOS SALES,AV MANOEL FERRAZ DE CAMPOS SALES,Av,,,Manoel Ferraz de Campos Sales,Av Manoel Ferraz de Campos Sales,AVENIDA,Avenida,,
238847,0.064122,0,2455,0.064122,4,SANTA ISABEL,SIS,,R,,,JOSE BUENO,R JOSE BUENO,R,,,José Bueno,R José Bueno,RUA,Rua,,
238854,0.170126,0,2457,0.170126,4,SANTA ISABEL,SIS,,AV,,,BRASIL,AV BRASIL,Av,,,Brasil,Av Brasil,AVENIDA,Avenida,,
238860,15.465113,0,4130,15.465105,3,SANTA ISABEL,SIS,SP 056,RV,PTO,,JOAQUIM SIMAO,SP 056  PTO JOAQUIM SIMAO,Rv,Pto,,Joaquim Simão,SP 056  Pto Joaquim Simão,RODOVIA,Rodovia,PREFEITO,Prefeito
240076,7.78316,0,2458,7.78316,4,SANTA ISABEL,SIS,,ES,,,MONTENEGRO,ES MONTENEGRO,Es,,,Montenegro,Es Montenegro,ESTRADA,Estrada,,
240341,0.207323,0,4131,0.207323,3,IGARATA,,SP 056,RV,PTO,,JOAQUIM SIMAO,SP 056  PTO JOAQUIM SIMAO,Rv,Pto,,Joaquim Simão,SP 056  Pto Joaquim Simão,RODOVIA,Rodovia,PREFEITO,Prefeito
240347,14.461113,0,4132,14.461109,3,MOGI DAS CRUZES,MGC,SP 098,RV,DM,,PAULO ROLIM LOUREIRO,SP 098  DM PAULO ROLIM LOUREIRO,Rv,Dm,,Paulo Rolim Loureiro,SP 098  Dm Paulo Rolim Loureiro,RODOVIA,Rodovia,DOM,Dom
240980,9.62446,0,4133,9.624461,3,BIRITIBA MIRIM,BBM,SP 098,RV,DM,,PAULO ROLIM LOUREIRO,SP 098  DM PAULO ROLIM LOUREIRO,Rv,Dm,,Paulo Rolim Loureiro,SP 098  Dm Paulo Rolim Loureiro,RODOVIA,Rodovia,DOM,Dom
241543,0.374583,0,4134,0.374583,3,BERTIOGA,,SP 098,RV,DM,,PAULO ROLIM LOUREIRO,SP 098  DM PAULO ROLIM LOUREIRO,Rv,Dm,,Paulo Rolim Loureiro,SP 098  Dm Paulo Rolim Loureiro,RODOVIA,Rodovia,DOM,Dom
241567,5.129601,0,3472,5.129601,4,BIRITIBA MIRIM,BBM,,AV,,,ARISTIDES DA CUNHA BRAGA,AV ARISTIDES DA CUNHA BRAGA,Av,,,Aristides da Cunha Braga,Av Aristides da Cunha Braga,AVENIDA,Avenida,,
241693,12.129318,0,4443,12.129314,3,MOGI DAS CRUZES,MGC,SP 088,RV,PRF,,ALFREDO ROLIM DE MOURA,SP 088  PRF ALFREDO ROLIM DE MOURA,Rv,Prf,,Alfredo Rolim de Moura,SP 088  Prf Alfredo Rolim de Moura,RODOVIA,Rodovia,PROFESSOR,Professor
242533,3.030644,0,3479,3.030644,4,BIRITIBA MIRIM,BBM,,ES,,DO,RIO ACIMA,ES DO RIO ACIMA,Es,,do,Rio Acima,Es do Rio Acima,ESTRADA,Estrada,,
242600,2.166339,0,3522,2.166339,4,MOGI DAS CRUZES,MGC,,AV,,,NILO MARCATTO,AV NILO MARCATTO,Av,,,Nilo Marcatto,Av Nilo Marcatto,AVENIDA,Avenida,,
242683,2.555011,0,3523,2.555011,4,MOGI DAS CRUZES,MGC,,ES,,,SANTA CATARINA,ES SANTA CATARINA,Es,,,Santa Catarina,Es Santa Catarina,ESTRADA,Estrada,,
242824,7.971624,0,4135,7.971623,3,MOGI DAS CRUZES,MGC,SP 066,RV,,,HENRIQUE EROLES,SP 066  HENRIQUE EROLES,Rv,,,Henrique Eroles,SP 066  Henrique Eroles,RODOVIA,Rodovia,,
243205,6.021949,0,4136,6.021948,3,BIRITIBA MIRIM,BBM,SP 088,RV,PRF,,ALFREDO ROLIM DE MOURA,SP 088  PRF ALFREDO ROLIM DE MOURA,Rv,Prf,,Alfredo Rolim de Moura,SP 088  Prf Alfredo Rolim de Moura,RODOVIA,Rodovia,PROFESSOR,Professor
243461,0.863581,0,3473,0.863581,4,BIRITIBA MIRIM,BBM,,R,,,HEITOR DA CUNHA BRAGA,R HEITOR DA CUNHA BRAGA,R,,,Heitor da Cunha Braga,R Heitor da Cunha Braga,RUA,Rua,,
